-1	502665.4	65246.85727040805	[1,1,1,1,1]
0	501177.2	62186.343310428696	[1.018191507174064,1.0027541674169398,0.9063150212179478,0.9748401229275586,1.0354099290874217]
1	499795.175	55217.63557223476	[0.9677380259325828,0.9257245730824883,0.9613240937056977,0.9589975456413157,0.9841235933125281]
3	478704.7	35422.05169043713	[0.9244837463820056,0.9388163355823375,0.9329786392740171,0.9217175856345735,1.0781621275546835]
4	471471.6	36433.02624889264	[0.8382088201963374,1.0140314371705168,0.9001533517531148,0.9095368842922456,1.0513199529406674]
0	464478.075	39176.65167099691	[1.0,1.2388827277153232,1.2031639714910953,1.2090902428610222,1.343275121960098]
5	459786.55	39684.51919023336	[1.0,1.2080820019419314,1.1013796808674423,1.1189347795667637,1.372759612369114]
6	456707.9	28823.49135475264	[1.0,1.2312700017735645,1.147813612916715,1.1875408395321299,1.5267648497229782]
15	455244.825	29175.79518518947	[1.0,1.2347711367963738,1.2449746309666812,1.26271422522842,1.5557593415998312]
24	454246.1	27309.820853540947	[1.0,1.214050764675158,1.2936819283157528,1.397900594953197,1.6309707716115527]
41	454235.175	37740.960532465586	[1.0,1.2560504478504657,1.3735586447922374,1.3694172044445583,1.7731328422900567]
58	449874.925	32634.750869673037	[1.0,1.4411102595142904,1.4167086601144299,1.5264364700834674,1.8164623217048335]
155	449096.725	29799.264894551092	[1.0,1.6130448201670908,1.6277531709484694,1.7377454404960517,1.9068393997392685]
157	448262.75	30056.0103951772	[1.0,1.780930455749468,1.70235864580802,1.9468446364094216,2.1333787457042583]
190	447321.675	32481.834986660233	[1.0,1.8437438194880564,1.859151243636839,2.1339942227774262,2.2218956007174735]
192	446227.775	29796.471969104412	[1.0,1.8093365285959297,1.8095136975014794,2.054358241106647,2.1815829092389087]
232	446091.85	28698.895680017027	[1.0,1.8446591214926449,1.9106092325527282,2.234307797462842,2.2753265991364438]
285	445253.75	28944.800221499198	[1.0,1.8162643817560653,1.9890829074997005,2.2449673806038004,2.2856962194690937]
305	444860.95	28529.18704585709	[1.0,1.929213749340573,2.071447203144706,2.173429554633631,2.271054604551367]
337	444767.55	29641.403730213253	[1.0,1.8804821106417113,2.0576564386686993,2.241306830370597,2.299037699064379]
378	444763.1	28310.099540446692	[1.0,1.7914372486337777,2.1262258711487347,2.1930555066314197,2.2676515125704184]
440	444464.275	22639.082239141782	[1.0,1.847868067584047,2.2330180803986055,2.3574809473398664,2.378685063262975]
