flow;avg;median;std;gini;herf;hoov;palm;thlt;thll;max;top01;top02;top05;top10;pc20;pc50;pc80
41;257.07;254;28.19618946;0.058541837;6.05E-05;0.039955265;3.992760712;0.005838153;-0.005709256;382;342.01;336.04;310.25;291.2;235.8;254;274.2
42;259.57;254.5;28.20647266;0.058518126;5.93E-05;0.041430635;3.874167143;0.005718396;-0.005572391;361;343.17;335.08;315.25;297.1;237;254.5;277.2
43;259.395;257;26.58493888;0.056604696;5.28E-05;0.040599086;4.15859733;0.00512977;-0.005035752;355;341.03;333.16;301;293.1;235;257;282
44;258.095;259;26.39897678;0.056600186;5.26E-05;0.03933445;3.949384142;0.0051541;-0.005108002;373;325.07;313.24;303.15;292.2;234.8;259;277
45;258.975;258;23.71190366;0.049813785;4.21E-05;0.034162564;3.930571538;0.004146091;-0.004123923;347;333.13;313.06;299.1;288;240;258;274.2
46;258.535;252;30.29172783;0.064341869;6.90E-05;0.046174116;3.977179637;0.006696345;-0.00657757;363;345.14;341.02;313;298.1;235;252;281.2
47;260;256;24.82579304;0.052010962;4.58E-05;0.036807692;3.989978801;0.004449283;-0.004365156;360;335.16;322.1;299.05;293.1;239;256;277.2
48;258.605;255.5;27.18085677;0.057048491;5.55E-05;0.040733164;3.953058869;0.005361287;-0.005239019;379;355.1;322.3;298.1;289.3;235.8;255.5;280
49;260.03;259;24.62943564;0.052531631;4.51E-05;0.037344153;3.978382552;0.004420631;-0.004377154;349;327.18;322.04;301.15;289.1;237.8;259;278.2
50;259.755;256.5;26.70421268;0.056208639;5.31E-05;0.039359493;3.894366197;0.005160473;-0.005070257;379;337.04;326.22;303.1;295;237;256.5;281
51;257.965;255.5;25.18479253;0.053637412;4.79E-05;0.038012618;3.896940727;0.004666005;-0.004595183;378;316.29;312.06;301.05;288.1;236;255.5;278
52;260.045;257;24.44346487;0.051884385;4.44E-05;0.036357265;4.061292866;0.004350019;-0.004303886;344;335.02;326.14;300.05;290.2;239.8;257;279.2
53;255.95;253;28.82164985;0.062183434;6.37E-05;0.04349287;3.874571102;0.006207648;-0.006114222;352;335.05;327.14;311.15;298;234;253;276.2
54;257.57;254;25.56413699;0.055366114;4.95E-05;0.039131886;3.864496593;0.004852804;-0.004802813;341;323.09;320;306.05;292.1;237;254;277.2
55;259.44;257.5;26.70386489;0.05693166;5.32E-05;0.039779525;4.003681457;0.005202897;-0.005137209;345;337.07;326.14;311.15;293.1;236.8;257.5;279.2
56;257.68;255;26.10819029;0.05604917;5.16E-05;0.038654921;3.824538259;0.005061388;-0.005017246;344;333.08;312.32;307.05;294.1;235.8;255;278
57;259.355;256;28.09375331;0.058582156;5.90E-05;0.041463631;3.891048402;0.005688578;-0.005553452;379;352.1;333.04;308.05;294;236;256;279.2
58;260.35;255.5;26.24457087;0.055715191;5.11E-05;0.039445938;4.047942547;0.004992758;-0.004931117;351;334.07;325.08;307.05;293.1;239.8;255.5;280.4
59;256.605;253;25.87525797;0.056123322;5.11E-05;0.040216383;3.989976415;0.004984684;-0.004908207;338;327.04;325.02;303.05;295;234;253;274.2
60;260.315;255.5;27.38020772;0.056178956;5.56E-05;0.039437316;3.870555033;0.005361347;-0.005233411;376;359.01;334.28;305.1;295.1;240.8;255.5;279
61;257.475;255;25.08504285;0.052228857;4.77E-05;0.036241383;4.009986293;0.004609778;-0.004505944;376;336.13;318.24;300.2;284.3;236;255;275
62;257.015;255;24.3075045;0.052182071;4.49E-05;0.036509445;4.03793239;0.004401123;-0.004352365;349;331.03;321.04;295.25;287;234.8;255;276
63;260.115;255;26.17884212;0.056171982;5.09E-05;0.040796186;3.988852585;0.00498637;-0.004932911;363;318.15;316.04;306.05;295.1;238;255;281.2
64;257.73;255;27.41472415;0.056768711;5.69E-05;0.039888837;3.69878204;0.005464465;-0.005317332;379;351.1;343.14;299.05;290;234;255;275
65;258.76;257;24.26071722;0.051314925;4.42E-05;0.035801515;3.990994443;0.004295946;-0.004218492;359;325.13;318.04;302.05;293.1;238;257;275
66;257.605;256;26.07909076;0.056983851;5.15E-05;0.04084024;3.924971363;0.005054292;-0.005006743;341;329.03;315.08;303.1;293.2;233.8;256;279.2
67;257.205;255;27.38472156;0.057805933;5.70E-05;0.040196633;4.017452007;0.005525928;-0.005424564;377;343.07;325.16;302.4;289.2;234;255;277
68;256.745;254;24.42416785;0.053096944;4.55E-05;0.037449025;3.885601206;0.004488117;-0.004472041;327;322.05;313.08;302.1;290;236.8;254;277
69;259.425;256;25.44335621;0.054140021;4.83E-05;0.038134336;3.847143398;0.004710921;-0.004635047;341;333.05;321.08;311.1;293.3;237.8;256;277.2
70;259.97;257.5;26.13979916;0.055365234;5.08E-05;0.038980075;3.923744809;0.004951794;-0.0048778;364;333.26;326.12;302;293.1;237.8;257.5;278.2
71;261.115;259;26.75802263;0.058327844;5.28E-05;0.042413496;3.902840909;0.005230013;-0.00523156;331;321.07;316.06;309.15;297;237;259;284.2
72;255.85;252.5;25.29085803;0.054650186;4.91E-05;0.038687708;4.026279116;0.004798896;-0.004737305;351;320.18;316.06;302;291;234;252.5;276.2
73;259.05;256;23.67672908;0.051020073;4.20E-05;0.036452422;3.980159502;0.004123231;-0.004086709;341;314.21;312.02;300.05;292.2;240;256;278
74;257.065;256.5;24.06098034;0.050942855;4.40E-05;0.035071869;3.981492305;0.004294238;-0.004231506;345;332.11;318.16;300.1;285;237.8;256.5;274
75;256.425;254.5;25.80706056;0.055033148;5.09E-05;0.038661402;4.066071429;0.004941847;-0.004848431;362;333.08;317.16;302.05;290;234;254.5;274
76;256.69;252;26.16971341;0.054557832;5.22E-05;0.038411508;4.090676129;0.005027878;-0.004893347;360;343.03;335.12;300.35;290;236;252;274.2
77;258.5;254.5;24.64345755;0.053004642;4.57E-05;0.037640232;3.912119472;0.00446424;-0.004403903;333;329.02;318.2;308;291.1;237;254.5;278
78;259.595;258.5;26.69889464;0.057413567;5.32E-05;0.040530153;4.012606672;0.005218834;-0.005175537;351;324.05;322.02;314;294.1;236.8;258.5;278
79;258.29;257;22.80648811;0.049705564;3.92E-05;0.034969414;3.99033069;0.003893456;-0.003903652;318;315.02;309;296.1;290;239;257;277.2
80;259.22;256.5;27.18421601;0.056947188;5.53E-05;0.039571021;4.086502463;0.005350538;-0.005234496;353;338.06;331.1;315.1;298.3;236.8;256.5;275.4
81;259.945;257.5;26.01541802;0.053764354;5.03E-05;0.037100925;4.020019436;0.004873082;-0.004773452;380;344.07;330.14;300.05;291.1;241;257.5;278.2
82;260.71;254;27.45825741;0.057903801;5.57E-05;0.041555368;4.338250359;0.005414841;-0.005313204;349;341.01;335.06;311.2;299.1;237;254;283
83;259.625;255;24.94342348;0.053403852;4.64E-05;0.038892634;3.958969466;0.004545981;-0.004496746;335;326.02;322;307.05;294.1;239;255;280
84;258.345;257;24.09514422;0.051571639;4.37E-05;0.035777836;3.934207988;0.004291393;-0.004255371;363;315.18;309.08;298.05;290.1;239.8;257;276.4
85;261.455;257;28.1540046;0.059056912;5.83E-05;0.041570825;4.026456033;0.00567483;-0.005586383;343;341;339.02;314.35;297.3;240;257;282
86;258.005;255;26.3325839;0.054833724;5.23E-05;0.038285692;4.062317429;0.005051468;-0.004930661;379;344.01;324.08;306.1;290.2;236.8;255;276
87;260.2;258;25.54701548;0.054889124;4.84E-05;0.038489623;3.974504249;0.004772671;-0.004748064;348;320.04;318.04;308;293.1;238.8;258;279.2
88;258.765;257;25.76198313;0.056056557;4.98E-05;0.040549533;3.936097375;0.004901891;-0.004869608;341;328.01;316.16;303.25;296;235;257;277
89;257.83;255.5;24.86887814;0.054145367;4.68E-05;0.039098437;4.158686189;0.004616078;-0.004601678;341;323.17;306.3;295.1;291;237;255.5;278
90;257.01;252.5;26.34881212;0.056033034;5.28E-05;0.040117505;3.975868726;0.005126788;-0.005032482;376;342.02;311.42;301;290;236;252.5;278
91;259.09;256;25.45195277;0.055071018;4.85E-05;0.03941391;4.049253442;0.004755953;-0.004707726;346;321.13;315.12;305.1;292.1;238;256;280.6
92;260.25;254;25.71531645;0.055440154;4.91E-05;0.040638809;4.034789331;0.004805997;-0.004751215;359;316.04;315.02;302.05;297.1;237;254;283.4
93;258.815;254;27.15604491;0.057160037;5.53E-05;0.040672971;3.89725254;0.005362885;-0.005255588;360;337.21;335;306.15;294;236;254;279
94;260.62;258;24.9384362;0.053787507;4.60E-05;0.038745683;3.749315818;0.00451424;-0.004468592;340;325.15;317.06;302;294.1;237;258;283
95;257.775;253;28.35144397;0.058783338;6.08E-05;0.041630298;3.94322483;0.005829469;-0.005660064;386;359.03;328.28;303.1;294.2;235;253;275.2
96;259.03;255;26.58776222;0.05716307;5.29E-05;0.041239432;3.83422165;0.00518428;-0.005128321;355;341.03;315.14;302;292.2;236.8;255;284
97;260.45;258;26.34762798;0.056437704;5.14E-05;0.040364753;4.019615385;0.005039942;-0.004990208;372;325.04;316.12;307.05;294;238;258;282
98;258.17;256;23.20196328;0.050498896;4.06E-05;0.035571523;4.08972616;0.004005868;-0.003987948;316;314;311.02;301.05;294.1;237;256;275.4
99;259.55;257;25.04231419;0.052306299;4.68E-05;0.036628781;3.963883495;0.00454169;-0.004455518;354;340.01;334.08;300.2;287;238.8;257;276.2
100;259.95;256.5;24.67888774;0.052675322;4.53E-05;0.03762839;4.00974957;0.004420197;-0.004354266;361;324.02;316.02;303.1;294;239;256.5;281
101;257.72;254.5;25.70314378;0.054905324;5.00E-05;0.038728077;4.128935232;0.004866863;-0.004785865;348;337.07;316.08;305.15;294.1;238;254.5;276
102;260.515;259;26.35734765;0.056093027;5.14E-05;0.040162563;3.926695636;0.005019719;-0.004949093;360;339.17;325.1;304;294;236.8;259;280.2
103;258.015;254.5;27.73021412;0.058327326;5.80E-05;0.040766913;3.925588459;0.005627051;-0.005519117;379;340;328.16;308.15;291.3;237;254.5;279
104;259.655;256.5;25.45144348;0.053554428;4.83E-05;0.037595271;3.914631838;0.004697846;-0.004617949;353;339.02;325.2;309.25;290;238;256.5;278
105;255.98;255;23.8451169;0.052015978;4.36E-05;0.036662239;4.018203171;0.004292694;-0.004265861;338;329.02;307.14;295.05;284.1;235.8;255;276
106;259.88;257.5;26.43757931;0.055658188;5.20E-05;0.038841004;3.907344633;0.005069214;-0.004996196;375;333.04;321.2;307.05;293;239;257.5;277
107;262.465;261;23.11230787;0.049176557;3.90E-05;0.035029909;4.006675567;0.003858288;-0.003855333;336;329.02;315.06;300;293.2;243.8;261;280
108;259.68;256.5;26.32180845;0.056092113;5.16E-05;0.039795132;3.705417815;0.005052298;-0.004995438;351;340.02;320.34;303.15;290.2;237;256.5;280.2
109;259.705;257;28.44675685;0.061066691;6.03E-05;0.043829537;3.817420436;0.005892131;-0.005819282;355;346.05;325.04;310.15;298.1;235.8;257;282.2
110;257.595;257;24.59676757;0.052461519;4.58E-05;0.037339428;3.876954965;0.004464687;-0.004396283;359;331.28;310.12;298;288;235;257;277
111;260;257.5;27.47944686;0.057226923;5.61E-05;0.040384615;4.00077235;0.005445018;-0.005346655;377;356.06;315.74;305.1;290.5;237.8;257.5;279
112;261.11;261;24.11406021;0.051765348;4.29E-05;0.037057562;3.95391354;0.004227635;-0.004208849;344;330.03;318.02;299;293.1;239.8;261;281.4
113;259.51;257;26.57498636;0.057399137;5.27E-05;0.041166236;3.787371134;0.005168662;-0.005119062;344;335.06;326.06;302.1;292.1;236.8;257;282
114;261.64;256;29.70657166;0.060956276;6.48E-05;0.043794527;4.077159309;0.006230687;-0.006066718;379;358.18;341.2;317.05;298.1;237.8;256;287
115;258.79;254;24.36341314;0.051974188;4.45E-05;0.036922022;4.018167611;0.004350053;-0.0042886;352;321.12;313.14;302.05;295.1;239.8;254;278
116;259.18;257;25.71765153;0.055380624;4.95E-05;0.038961725;4.027928627;0.004864607;-0.004829522;342;321.19;315.06;306.1;296;239;257;278
117;261.405;258;25.96615056;0.055461162;4.96E-05;0.038923892;3.874255952;0.004891588;-0.004873498;343;327.02;322.02;308.1;293.2;240.8;258;284
118;261.255;257;28.76925399;0.058870931;6.09E-05;0.041316626;3.925644917;0.005865365;-0.005714274;370;359.07;344.28;311.05;299.2;239.8;257;282
119;257.055;256;25.50964474;0.055682928;4.95E-05;0.038861041;4.073535195;0.004887036;-0.004872683;334;316.14;315.02;302.05;291.1;236.8;256;277.2
120;257.87;255;25.92070794;0.055632877;5.08E-05;0.040065731;3.945405613;0.004967553;-0.004910819;358;333.06;323.02;298.05;291;235;255;277.2
121;260.11;255.5;26.33093048;0.05546538;5.15E-05;0.039679366;3.876480541;0.00499949;-0.004903551;363;335.06;333.02;304.3;295.1;238.8;255.5;281.2
122;258.64;255;25.76626477;0.0551765;4.99E-05;0.038946025;4.034770785;0.004863034;-0.004788157;355;324.17;318.06;303.2;294.2;237.8;255;279
123;261.185;257;26.85592625;0.056709708;5.31E-05;0.040486724;3.88977844;0.005169295;-0.005079433;351;340;328.18;314.1;297.2;239;257;281.2
124;262.715;259;24.33544277;0.052234075;4.31E-05;0.037777344;4.047996903;0.004250919;-0.004227826;335;327.01;317.02;307.05;295.2;241;259;284.2
125;261.6;259;25.9086858;0.055514335;4.93E-05;0.040099388;4.145659929;0.004837431;-0.00479241;342;337.01;323.08;304.3;295;237.8;259;283
126;258.68;254;24.85050503;0.053296351;4.64E-05;0.038307561;3.975043194;0.00452585;-0.004458847;361;318.12;314.06;302.05;296.2;237.8;254;277.4
127;260.7;256;26.81492122;0.056217491;5.32E-05;0.04000959;3.944380514;0.005149829;-0.005041823;380;328.14;324.02;313.05;299;238;256;279.2
128;256.945;254;24.21078221;0.052328027;4.46E-05;0.0373038;3.967748241;0.004364682;-0.004309151;332;328.02;312.24;303.05;289;237;254;275
129;263.91;264.5;23.29403142;0.049886514;3.91E-05;0.035509643;3.954554098;0.003887991;-0.003895036;332;316.04;313.02;304;296.1;243;264.5;283.2
130;261.165;256.5;27.42531267;0.058598491;5.54E-05;0.042437635;3.969737343;0.005420639;-0.00535443;349;326.12;323.02;315.05;302.2;238;256.5;284.2
131;258.02;256;22.18872687;0.047905201;3.72E-05;0.033431905;3.978454969;0.00367832;-0.003673294;320;317.02;312.02;297.2;285.1;240.8;256;275.2
132;257.95;256;25.58568936;0.054646249;4.94E-05;0.038726497;3.923782235;0.00482525;-0.004757957;355;337.02;315.36;301.1;291;237.8;256;276.2
133;260.295;258;26.35541643;0.056851361;5.15E-05;0.040558789;3.927362616;0.005100029;-0.005099386;337;330;324.04;305.15;293;240.8;258;282
134;260.41;257.5;27.28464587;0.058159825;5.52E-05;0.040726163;4.116883117;0.005400869;-0.005342376;353;333.09;327.02;307.15;299;237;257.5;280.2
135;259.155;257.5;25.97462175;0.055359052;5.05E-05;0.039231927;3.946666667;0.004918484;-0.004841981;374;329.06;317.02;303.2;296;235.8;257.5;280
136;258.185;254.5;26.16755195;0.055821698;5.16E-05;0.039217809;4.115136088;0.005034028;-0.004959543;351;334.06;321.24;308.15;294;236;254.5;278
137;259.18;255;26.69377456;0.056873601;5.33E-05;0.04029439;3.919298921;0.005206656;-0.005137129;341;331.02;328.04;316.1;289.2;238.8;255;279
138;262.035;257.5;26.39363133;0.055511382;5.10E-05;0.03968716;4.136096989;0.004967011;-0.004888234;361;340.02;328.12;314.05;296.1;240;257.5;282
139;258.38;257;23.38280565;0.050190417;4.12E-05;0.035364966;3.994927819;0.004041628;-0.004007217;357;316.07;308.16;300.1;289;238;257;276
140;257.675;257;24.67284692;0.053811681;4.61E-05;0.038229844;3.966929437;0.004549947;-0.004535184;334;316.1;315;302.05;291;237.8;257;276.2
141;259.39;258;23.89619007;0.051008327;4.26E-05;0.036045144;3.984083851;0.004179207;-0.004134696;354;324.08;320.04;302.05;289.1;239.8;258;277
142;259.39;257.5;26.97976835;0.056737538;5.44E-05;0.039479548;4.19431659;0.005292025;-0.005209291;362;347.02;326.34;308.05;292.2;239;257.5;277.2
143;260.04;257;25.89784547;0.05471389;4.98E-05;0.038537148;3.966608763;0.004869286;-0.004808407;370;326.18;319.08;310.1;291;237;257;277.2
144;263.64;257;27.26647025;0.055854764;5.38E-05;0.04033834;4.034047437;0.005177859;-0.005040968;377;343.18;336.1;312.15;301.2;241.8;257;283.2
