flow;avg;median;std;gini;herf;hoov;palm;thlt;thll;max;top01;top02;top05;top10;pc20;pc50;pc80
41;148.855;147;14.71543323;0.052522757;4.91E-05;0.036283464;3.957997312;0.004724119;-0.004596993;217;193.15;189.04;174.15;166;137;147;158
42;149.3;148;14.79425564;0.055025452;4.93E-05;0.03899866;3.924272487;0.004821136;-0.004756031;194;192.02;186.1;178.1;167.1;137;148;161
43;149.465;146;21.87461485;0.064634028;0.000107634;0.044630014;3.878529219;0.009400533;-0.008468315;309;258.08;202.26;180.05;168.1;136;146;159
44;149.865;148;15.61623434;0.056746906;5.46E-05;0.03947386;4.148732008;0.005304876;-0.005215062;210;196.05;193.02;176.15;168.1;138;148;161.2
45;150.565;147.5;20.00864251;0.061029954;8.87E-05;0.041987348;4.040161998;0.007942304;-0.007293599;278;248.22;200.06;175.05;165.2;137;147.5;160
46;150.805;148;17.64984348;0.062815391;6.88E-05;0.043970193;3.914436736;0.006605002;-0.006417168;223;209;198.16;186;173.2;137;148;163.2
47;150.35;147;19.00730123;0.064100765;8.03E-05;0.044916861;3.974899598;0.007493749;-0.007118419;268;203.04;201.02;189.05;173;136;147;161
48;151.565;147.5;19.32733233;0.0640575;8.17E-05;0.045032164;3.885723431;0.007612923;-0.007213779;252;210.34;205.06;193.1;172;137;147.5;162.2
49;149.805;148;18.43602384;0.060399352;7.61E-05;0.040877975;4.069743935;0.007032851;-0.006639905;271;210.31;190.28;179.2;167.1;136.6;148;159
50;150.47;149;16.19256311;0.056300259;5.82E-05;0.038696086;4.035520974;0.00554292;-0.005350967;234;192.3;190.02;181.05;169.1;137;149;160
51;152.205;148;22.30611968;0.067546565;0.000107929;0.04704806;3.97340253;0.00947268;-0.008623229;340;229.16;203.06;183.15;173.1;137;148;163.4
52;150.145;148.5;16.151284;0.057999767;5.81E-05;0.040773419;3.938728702;0.005608837;-0.005476689;223;190.26;189.02;181.05;169;137.8;148.5;161.2
53;152.01;151;15.89590828;0.056063088;5.50E-05;0.03861917;3.99009247;0.005311406;-0.005197904;225;208.04;187.16;180.1;169.2;139.8;151;163
54;149.47;148;16.439559;0.055230147;6.08E-05;0.037988894;3.8914678;0.005706368;-0.005446405;248;216.01;198.06;174.05;164;138;148;159
55;153.215;149.5;20.94824038;0.07042114;9.39E-05;0.049361518;4.029451138;0.00880674;-0.008395733;252;232.02;216.02;193.15;173.1;137.8;149.5;165.2
56;150.88;149;16.82990196;0.058300305;6.25E-05;0.040613733;3.904653433;0.005957967;-0.00575676;224;215.08;200.22;175.05;169;138;149;162
57;150.805;148;20.39698446;0.0670311;9.19E-05;0.045708034;4.101429544;0.008510134;-0.008039832;274;225.05;206.02;193.1;173.1;136;148;160
58;152.09;148;21.89661846;0.068996318;0.00010416;0.048119534;3.870292887;0.00942695;-0.008730677;271;264.02;210.12;185.15;174.1;137;148;164
59;149.855;147;17.04564387;0.05859681;6.50E-05;0.041040839;3.792893726;0.006129741;-0.005866901;241;202.32;189.06;179;171.2;137;147;161.2
60;152.595;147;21.79749928;0.069302566;0.000102537;0.048539434;3.955548345;0.009380946;-0.008754854;267;243;219.38;195.1;173.1;138;147;164
61;149.74;147;17.84327324;0.061431481;7.14E-05;0.043269667;3.821600771;0.006709597;-0.00641427;259;202.05;194.06;184.05;169.1;135;147;159
62;152.965;151;19.42585326;0.064584872;8.10E-05;0.044090805;3.769569318;0.007615695;-0.007274128;246;221.18;210.02;190.05;175.2;139;151;162
63;151.445;149;18.70954235;0.061795536;7.67E-05;0.042437849;4.01010101;0.007157533;-0.006792427;247;219.2;207.06;184.2;172;137;149;160.2
64;152.35;149;17.1303094;0.062056449;6.35E-05;0.044238595;4.044400265;0.006186786;-0.006091086;206;203.02;194.06;186.15;175.1;138;149;165
65;156.12;151;22.6904297;0.070931655;0.000106149;0.049317192;3.757965686;0.009731547;-0.009110172;262;258;240.14;195.3;178;142.8;151;168
66;153.965;150.5;19.56281613;0.064506706;8.11E-05;0.045037346;3.748060813;0.007580527;-0.007211925;262;218.31;205.04;188;177;140;150.5;165
67;152.26;149;18.68454977;0.06447721;7.57E-05;0.045616708;3.849500483;0.007180699;-0.006918382;250;213.03;204;186.1;170.2;137;149;164
68;152.475;150;19.82875122;0.066422528;8.50E-05;0.046124775;4.227808599;0.007955369;-0.0075772;253;213.35;208.08;191.1;172.3;138;150;163
69;153.17;151;18.90346794;0.061474505;7.65E-05;0.042688516;4.024852845;0.007113668;-0.006733665;254;218.35;208.2;181.15;172;140;151;163.2
70;151.53;150;18.16615259;0.061158186;7.22E-05;0.04224774;3.904033832;0.006777481;-0.006477786;266;206.18;196.08;182.05;171.1;137.8;150;160.2
71;153.635;150;20.42551774;0.067001823;8.88E-05;0.046885801;3.843681059;0.00825454;-0.007813828;270;222.13;215.06;190.15;176.1;138;150;163.2
72;151.555;149.5;15.42001864;0.056897001;5.20E-05;0.041303157;4.110997963;0.005091234;-0.005030872;207;191.01;189.02;180.05;170.1;139;149.5;165
73;155.17;151;21.4676757;0.069562738;9.62E-05;0.048584134;4.060967528;0.00893773;-0.008450662;252;247.03;216.02;197.15;181.2;139;151;166
74;153.21;148;19.95584877;0.068121859;8.53E-05;0.048515763;4.176691729;0.00805557;-0.007726958;245;213.25;205.02;193;177.2;138;148;166
75;153.29;151;18.58079385;0.06335671;7.38E-05;0.044050819;3.853393086;0.007000409;-0.006732005;242;218.01;206.04;189.05;176;138;151;164
76;151.635;147;21.89341853;0.068038217;0.000104755;0.047201174;3.997012944;0.009389517;-0.00863765;307;236.03;216.08;187.1;176;136;147;162
77;151.935;149;18.15077891;0.059646395;7.17E-05;0.041500313;4.044947617;0.006672762;-0.00631674;258;225.06;203.18;182.15;173;138;149;163
78;153.105;150.5;15.83047615;0.056948336;5.37E-05;0.039971588;4.040580666;0.005232844;-0.005148713;207;196.05;194.02;183;174.1;139;150.5;165
79;152.845;149;18.60163904;0.062415028;7.44E-05;0.044069973;3.942033679;0.006989572;-0.006667199;255;213.11;208.02;183.25;175;138;149;163
80;155.255;151;22.79056768;0.068906154;0.000108284;0.047473189;4.086014445;0.009690484;-0.008914312;311;254.14;211.16;193;176.1;140;151;165.2
81;152.92;150;18.02730152;0.057639289;6.98E-05;0.040077165;3.896950241;0.006464459;-0.006095672;260;232.08;203.08;180.05;169;140;150;163
82;154.185;150;22.4766718;0.068553199;0.000106789;0.046886208;3.820480405;0.009536384;-0.008786613;329;221.22;213.1;190.05;176.1;140;150;165
83;152.565;151;15.38232021;0.054014846;5.11E-05;0.038058532;4.018139842;0.004918137;-0.004792865;233;202.04;188.06;180;172;141;151;164
84;153.38;150;18.11892933;0.062532599;7.01E-05;0.044113313;3.954574951;0.006704497;-0.006495154;225;220.02;203.12;186.05;176.1;139;150;164.2
85;152.105;149.5;19.3006211;0.06448358;8.09E-05;0.044813944;3.911176663;0.007558512;-0.007204886;267;206.46;189.3;183;175.1;138;149.5;163.4
86;154.6;152;17.91061138;0.062753234;6.74E-05;0.043874515;4.014228987;0.006507409;-0.006354293;220;213;205;186.1;178.2;139;152;168
87;153.82;150.5;19.93909727;0.060001625;8.44E-05;0.040966714;4.024140212;0.007608783;-0.00702118;287;239.2;206.32;182.05;170.2;140.8;150.5;162
88;155.305;151.5;23.13897091;0.070752873;0.000111549;0.048662793;3.8657422;0.01010075;-0.009365104;294;240.23;223.32;200;177;140;151.5;164
89;155.985;151;24.4211952;0.071325608;0.000123173;0.048953425;4.224286662;0.010761132;-0.009762646;359;235.02;215.26;195.1;177.1;140.8;151;165.4
90;155.39;151;23.36210393;0.07189491;0.000113586;0.050448871;3.87428023;0.010221895;-0.009443175;290;262.24;210.6;189.25;177;139.8;151;167.2
91;157.83;152;25.61466572;0.072009757;0.000132356;0.049898308;3.73816568;0.011501127;-0.010328964;338;269.26;239.04;191.05;179;141.8;152;168.2
92;152.81;150;17.07817028;0.060875924;6.28E-05;0.043484065;4.072572736;0.006059994;-0.005917701;226;201;199;186.05;175;139;150;165
93;154.965;151;18.54653;0.06378037;7.20E-05;0.045525603;4.093038386;0.006872887;-0.006649229;232;216.15;208.02;188.05;178.2;140.8;151;167.2
94;156.04;154;23.4362625;0.066069598;0.000113358;0.045462702;3.818907305;0.009712245;-0.008674894;365;246.07;204.22;185.05;175.1;141;154;166
95;153.12;150;17.22485414;0.058982497;6.36E-05;0.041981452;4.013852243;0.006043472;-0.005831816;255;198.17;196;181.1;174;139;150;166
96;155.44;152;21.59343419;0.068465646;9.70E-05;0.047618374;3.897484277;0.008894117;-0.008334966;281;243.15;209.54;188;177;140;152;168
97;156.915;152;24.22576676;0.070734952;0.000119777;0.049386133;3.712094395;0.010469457;-0.009484267;352;236.36;209.28;190;181.1;142;152;169
98;155.535;153;18.02994107;0.061076446;6.75E-05;0.042431607;3.800187032;0.006450525;-0.006247507;239;219.07;199.22;189.05;177;141.8;153;167.2
99;155.905;153;23.23652244;0.069725634;0.000111627;0.047916199;4.066451613;0.009910026;-0.009073644;335;224.25;219.08;189.2;178.2;139.8;153;166
100;156.335;150.5;24.77443794;0.072163783;0.000126195;0.051296095;3.575554259;0.010979708;-0.009907704;358;230.31;226.06;193.15;177.1;140;150.5;168
101;154.95;153;20.04488713;0.065644401;8.41E-05;0.045383995;3.823163138;0.007864222;-0.007480577;260;233.04;207.2;195.05;177.3;140;153;164
102;154.87;152;19.38770487;0.064305224;7.88E-05;0.044030154;4.061969993;0.0074239;-0.007108704;252;218.1;213;195.1;173.1;140;152;166.2
103;154.145;148;23.46409971;0.069516527;0.000116438;0.049257517;4.102254165;0.010176294;-0.009215358;350;219.19;208.2;197.1;179.1;140;148;165.2
104;158.035;153;23.08817392;0.07482409;0.000107255;0.05237479;3.9275;0.010028928;-0.009545575;256;246.06;221.4;205.1;189.1;140;153;170.2
105;157.11;153;19.79792666;0.065267329;7.98E-05;0.046095729;3.981257942;0.007513982;-0.007185902;262;222.02;212.02;198.25;177.1;142;153;171
106;153.77;154;16.64623381;0.057503089;5.89E-05;0.039904728;4.08026534;0.005668101;-0.005539277;252;201.06;190;180.05;172.1;140;154;165
107;155.825;152;21.29423337;0.066324884;9.38E-05;0.047035938;4.1256182;0.008538996;-0.007948429;293;231.31;213.22;190.05;178.1;141;152;166
108;154.325;150;23.3595671;0.068606674;0.000115134;0.046653167;3.997774245;0.010145679;-0.009236729;335;227.29;219.06;184.75;174.2;140;150;164
109;157.12;153;20.6587899;0.06696665;8.69E-05;0.046994654;4.050479233;0.008098254;-0.00769916;288;214.17;210;192.1;180.1;141;153;169
110;157.825;154;26.51630395;0.07148218;0.000141847;0.049490733;4.014992026;0.011893942;-0.010436824;370;242.95;207.42;191.05;180;141.8;154;168
111;158.405;153;24.91908857;0.080302863;0.000124358;0.055983081;3.852262235;0.01152468;-0.010905045;291;245.12;223.02;208.25;188.1;140;153;171.2
112;156.35;153;21.36954609;0.069456348;9.39E-05;0.048959066;4.121927555;0.008708379;-0.008256638;290;226.29;206.18;187.05;179.1;140;153;170
113;153.515;152;19.2447337;0.062845813;7.90E-05;0.043797349;4.0313118;0.007314241;-0.006912474;278;211.31;203.1;180.1;174;139.8;152;166
114;156.635;154;22.48292185;0.069916526;0.000103532;0.048349986;4.000646621;0.009372798;-0.008721523;322;233.09;209.08;192.05;181.1;140;154;168.2
115;156.605;154;18.62119693;0.065552664;7.10E-05;0.046369528;4.070680628;0.006896527;-0.006773472;222;211.03;205.08;191;179.1;140;154;171
116;158.04;151.5;23.14947948;0.075914642;0.000107819;0.054064794;4.048012719;0.010108667;-0.009635625;248;239.07;230.14;203.25;185.2;140;151.5;172
117;157.675;154;21.78048151;0.068883621;9.59E-05;0.047735849;4.035335689;0.00886064;-0.008352019;268;256.06;218.12;192;183;142;154;169.2
118;157.255;153;21.77957702;0.068720072;9.64E-05;0.047443007;4.071976967;0.008872329;-0.00834048;284;231.37;212.2;196.05;182.2;140.8;153;168
119;155.1;150;21.66587178;0.06638588;9.81E-05;0.045831721;3.998698764;0.008889169;-0.008252463;299;238.06;223.16;191.05;177;140;150;165
120;156.42;152.5;23.81603661;0.073968482;0.000116493;0.051327196;4.354443309;0.010536163;-0.00977805;317;238.13;226.06;203;182.3;139;152.5;166.2
121;157.545;153.5;23.3091822;0.071417531;0.00011;0.049427148;4.014734145;0.009976306;-0.009273593;293;266.09;216.34;191.35;180.1;142;153.5;168.2
122;155.935;153;20.18565766;0.067007247;8.42E-05;0.046754577;3.99104;0.007939635;-0.007596413;245;225.09;212.1;198;180.3;141;153;166.2
123;158.225;153;23.32068556;0.073831411;0.000109164;0.052042977;4.176102699;0.010080512;-0.009488887;264;251.05;242.16;201.15;185;141;153;170
124;157.045;154;23.03655736;0.070195963;0.000108127;0.049015728;4.053542279;0.009630841;-0.008869718;346;221.01;207.18;196.05;183;140.8;154;168.2
125;158.69;155;22.97354783;0.070728464;0.000105318;0.048726763;4.033312578;0.009591142;-0.008946364;312;240.02;224.02;200.2;180.3;143;155;170
126;156.215;152.5;21.41935515;0.070287584;9.45E-05;0.049231988;3.958864796;0.008846866;-0.008417709;239;231.06;229.02;202.05;179;139;152.5;167.2
127;160.31;152;28.77227659;0.076203606;0.000161873;0.054337222;4.289283366;0.013482567;-0.011799035;415;255.35;220.64;201.25;187;144;152;171
128;157.675;154.5;21.86296812;0.069310766;9.66E-05;0.04873791;4.236737401;0.008886344;-0.008359642;301;219.34;211.02;196.25;181.1;142;154.5;170
129;157.86;153.5;22.32734646;0.070338274;0.000100526;0.048896491;4.199802826;0.009289289;-0.008767624;287;243.06;224.06;190.3;182.1;142;153.5;170
130;158.205;153.5;22.73616008;0.073624885;0.000103786;0.051642173;4.14617397;0.009697439;-0.009221578;262;235.12;231.08;202.05;183.3;141;153.5;170.2
131;157.7;154;22.50977565;0.071192771;0.000102383;0.049273938;4.203783604;0.00944589;-0.00888759;277;247.11;220.2;198;183.1;141.8;154;169
132;159.345;154;23.60881138;0.076733032;0.000110311;0.054015972;4.196860693;0.010342829;-0.009865577;261;235.07;231;203.15;186.3;140;154;173
133;159.405;154;25.02780404;0.07926555;0.000123876;0.055670776;4.025056216;0.011441362;-0.010793452;294;244.05;237.04;207.2;184.4;141.8;154;174
134;159.255;156;24.75722066;0.077771969;0.000121441;0.054168629;3.832787861;0.011143321;-0.010467691;291;258.25;223.24;203;183;140.8;156;172
135;158.16;156;21.5484199;0.069209977;9.33E-05;0.04725215;4.068571429;0.008709909;-0.008277687;255;246.03;219.46;200;180;141.8;156;170
136;158.48;155.5;20.71592624;0.067367807;8.59E-05;0.046540888;4.152629881;0.00808235;-0.007739828;266;226.16;217.14;196.35;180.1;142.8;155.5;170
137;158.555;153;23.60713822;0.071416701;0.000111397;0.050327331;3.873116335;0.01008811;-0.009361712;308;237.36;219.22;201.2;182.1;144;153;170
138;158.455;156;23.19758554;0.071339655;0.000107701;0.050101922;4.042356688;0.009697937;-0.008996122;337;223.14;218.02;194.1;185;141.8;156;170
139;158.65;152;26.27617742;0.07626694;0.000137845;0.053109045;4.0675211;0.012261527;-0.011188053;291;275.03;265.04;212;180;142;152;168.2
140;159.38;155;22.94156926;0.072547371;0.000104118;0.050739114;3.889497717;0.009642025;-0.009106017;274;259;228.06;199.05;184.2;143;155;173
141;161.215;155.5;25.91213567;0.079709239;0.00012982;0.055403654;3.667237932;0.011882004;-0.011128105;306;246.35;224.24;210.15;194;143;155.5;171.2
142;159.07;153;23.26725381;0.075134532;0.000107513;0.054182121;3.864551556;0.010005701;-0.009483456;289;225.1;219.06;211;187;142;153;175.2
143;160.445;157;20.52673805;0.067640469;8.22E-05;0.047557263;3.95062481;0.00781207;-0.0075214;236;233.01;219.18;201;186.1;143;157;174
144;160.11;156;24.25072989;0.076182624;0.000115282;0.052577603;3.905648855;0.010673971;-0.010083994;280;251;241.08;209.05;188.2;143;156;171.2
145;161.265;156;26.14621913;0.079366726;0.000132094;0.055610176;3.765035377;0.011934941;-0.011074269;317;246.56;223.36;206.15;189.3;141.8;156;176
146;158.02;155;23.8991548;0.071471649;0.000114944;0.048524237;3.801883926;0.010264644;-0.009457299;339;228.29;221.08;196;180.1;141.8;155;169.4
147;162.74;156;29.88548812;0.086891668;0.000169465;0.061317439;4.296272285;0.014925937;-0.01360944;372;270.13;248.26;212.35;190.2;142;156;178
148;159.075;155;23.3126441;0.074047933;0.000107926;0.051692598;4.02610317;0.010011013;-0.009460698;281;242.01;220.36;206.3;186;142;155;171.2
149;162.365;157;26.53001649;0.079874203;0.000134164;0.055326733;4.128962088;0.012134034;-0.011278365;339;248.03;243;212.05;193;143;157;174.2
150;161.335;156;24.66338937;0.078767007;0.000117434;0.05590433;4.260813008;0.01089856;-0.010324844;303;234.22;229.1;205.05;192.2;141.8;156;175.2
151;159.325;155;20.6060519;0.067705162;8.41E-05;0.047804802;4.107246377;0.007945988;-0.007622813;255;224.09;221.04;195.2;183.3;142.8;155;172.2
152;162.135;155;26.90514402;0.081085053;0.000138377;0.057259074;4.086292835;0.012559341;-0.011659582;288;272.06;260.22;209.2;192.2;144;155;174.2
153;162.23;157;27.1049276;0.080797017;0.000140275;0.057026752;4.048525214;0.012626874;-0.011667812;320;273.03;245.48;204.15;188.1;143;157;175
154;160.31;155;25.58952715;0.077751544;0.000128041;0.054645998;4.048121701;0.011590636;-0.010761891;309;273.05;225.5;200.2;188;143;155;173
155;164.02;157;25.98344858;0.079938422;0.000126109;0.057540544;3.967516697;0.011617419;-0.010920649;296;251.23;240.18;214.05;193.1;145;157;179.2
156;162.68;158;26.93896063;0.078800406;0.000137797;0.054177526;4.218689788;0.012400203;-0.01143821;307;282.03;247;213.1;189.1;145;158;174.2
157;161.02;155;25.80444923;0.077352192;0.000129055;0.05463607;3.861380145;0.011655528;-0.010785598;315;257.16;239.1;211.15;185.2;143.8;155;173
