-1	2978.0604734426856	617.9884412707908	[1,1,1,1,1]
1	2959.1546246168373	808.544772417587	[1.0,1.0462405774401802,0.9548995472714664,1.1999468523152013,1.1343045139445316]
2	2470.725379321976	205.04886876376537	[1.0,1.1671028600885631,0.9530296264693191,1.3299132829788731,1.3374861687866422]
12	2442.6007779243414	136.40740822749478	[1.0,1.3241228437369308,1.0056994708786937,1.5177115113836415,1.4198996097371486]
14	2395.824777290827	162.82207297183948	[1.0,1.4028595341674899,1.1168188102231267,1.7551577311664373,1.6457184524788924]
15	2326.0595659964993	120.2098261982118	[1.0,1.392768486977655,1.1711809045638435,1.9811920394973876,1.77324799711571]
16	2270.3285544500004	198.10593772694094	[1.0,1.6671765270536276,1.196908667176674,2.130755637819935,2.0172160725441945]
17	2250.8221356181043	213.14214533495513	[1.0,1.3895968361455864,0.9379892412073398,1.839851412517765,1.9039198035351328]
27	2219.964734472073	154.00124632226039	[1.0,1.3480078508550326,1.144924617286178,2.061568223839223,2.1775932922689454]
28	2193.771075277759	132.49889440601626	[1.0,1.341334015136969,1.1655981063976133,2.1765167185152583,2.2536083838065]
29	2151.1857663625037	102.5908168481748	[1.0,1.73570794589026,1.3747071028844529,2.392372652703006,2.576633807290295]
30	2130.9016177771764	94.55401212721802	[1.0,1.865231082912243,1.5276450147983744,2.5175108241818913,2.7643159988930304]
35	2103.8844230766563	64.9190749072339	[1.0,2.138231607608585,1.5839376178429656,2.7281695101295567,3.023369853288295]
36	2088.411307475244	73.85106187527806	[1.0,2.377009917998447,1.6509923002442255,2.8953274735668018,3.297143830175379]
40	2018.3947206732933	40.12946528853668	[1.0,2.6382304639237204,1.7707754272747331,3.26310957357373,3.9661602222115047]
58	1991.429531841591	60.90111078101144	[1.0,2.8580199343591506,1.8646018140991163,3.6443444395963187,4.654362481280138]
62	1991.0959743633055	58.025651233677706	[1.0,2.6354522874817357,1.6808826515090083,3.2860779734401384,4.360128133129728]
64	1987.39672726257	38.471643740528926	[1.0,2.9365845184424546,1.8130849222241687,3.885068819229974,4.9100976697550305]
65	1951.4912619943868	59.12762545577906	[1.0,2.997019133994146,2.046147226259715,4.063393650839522,5.339859393084077]
66	1936.5319338454326	79.39528944027474	[1.0,3.1641329206616216,2.250187547197831,4.428294106478173,5.916962867097841]
67	1922.0203435415012	58.74006852536627	[1.0,3.503618294420697,2.550470023845241,4.936482604095831,6.708517466032894]
74	1917.9924553973967	45.90211387822079	[1.0,3.2459885578834267,2.464726976082655,4.55061184773791,6.412573559262892]
78	1916.7280822608611	58.133314192098815	[1.0,3.2761575147963575,2.591890081846543,4.640805761046017,6.685461975320956]
86	1901.7780892851297	99.7982945024491	[1.0,3.7147184506621516,2.9097406074832772,5.403771559135775,7.919993904943796]
87	1852.9647427693822	66.8890059327173	[1.0,4.381723109657629,3.410080886105727,6.144678449518067,9.284223671052654]
95	1848.4996118145773	77.81063845761255	[1.0,4.754417548949839,3.8721568592952034,6.597966888509209,10.093915035235648]
96	1846.2898412150596	75.81360078180556	[1.0,5.277968599869015,4.430638296273072,7.442269871991117,11.375066744898119]
98	1836.139217556661	82.22337081620907	[1.0,5.3770684887226,4.566656477278657,7.688429594482286,11.782189230007248]
99	1810.4649731550671	51.18401354646303	[1.0,5.993425183500261,5.066865690485159,8.509657373841549,12.911798165843848]
115	1800.8141710674222	53.62895855399383	[1.0,6.409368286051609,5.466195353925119,9.233215229398034,13.740834821109207]
123	1797.0591150678638	44.50794040933564	[1.0,6.336065238763972,5.190427126993772,8.98684572436133,13.375823175907861]
127	1795.7657682048239	37.30034461771375	[1.0,6.076268052868804,5.068397882775831,8.632308060439778,12.895923228384675]
168	1794.5490341566335	40.24451633951577	[1.0,6.139959943504931,4.9558109344692935,8.725313253574912,12.881924761147982]
198	1790.81843956608	40.36400015805096	[1.0,6.124692716444689,4.968158684884932,8.921318437874127,13.199521852970305]
