-1	791574.525	95354.28120720708	[1,1,1,1,1]
1	771288.95	64867.81387192342	[1.0,1.1560220772728849,1.2128600025851295,1.1298160220447397,1.158540127221229]
3	757466.25	66496.95134242998	[1.0,1.4126000660331646,1.3324328073189982,1.3423363160926842,1.3101665229771156]
7	755503.925	68646.69970263046	[1.0,1.4535942828919906,1.2969842280649604,1.2233796225601583,1.298564496380193]
12	754351.35	67790.56989888048	[1.0,1.6704506271496908,1.4377368770383228,1.4401444316658065,1.3313032589490679]
15	754192.65	63932.571527469474	[1.0,1.8580480861924455,1.478191738018015,1.5065434239669435,1.6768533439283022]
26	745331.575	66148.6664444237	[1.0,1.6590824903708614,1.228453584609357,1.4132239272391076,1.4157670861371672]
44	743016.625	66607.00119105817	[1.0,1.7122223250056814,1.256234992689388,1.4160604993990937,1.411836012674818]
316	742586.8	64377.12131473805	[1.0,1.6202651344637506,1.1925350088856592,1.45475447480955,1.4114384855709343]
738	741888.9	70912.73141282529	[1.0,1.691523828440859,1.124859105243514,1.4734827969742614,1.3916682075205364]
