-1	852.4493522728985	146.90069732656698	[1,1,1,1,1]
2	843.1010712838367	116.2113611646554	[1.0,1.0362660989873487,0.93046478845813,0.805849127050747,1.031054485339004]
4	817.1226103775633	100.75428387768136	[1.0,1.1735318878890177,1.0490824119967632,1.0491077810872178,1.1705136538069705]
6	811.1726132801837	108.97701811598142	[1.0,1.2318820464113682,1.0444403782805802,1.0345271525292365,1.1319077438946272]
10	765.7766304154866	57.60684882039734	[1.0,1.3999032759283638,0.9436515722802653,1.000318345611533,1.23474856591444]
14	742.704822236445	52.478942236362	[1.0,1.4620870474654746,1.0396258133551644,0.866525300487723,1.355645127468105]
114	740.4397841869959	49.183689976328345	[1.0,1.645370610261368,1.2490914268422897,1.1135052172757671,1.5570889437377582]
129	735.7615188936294	69.01411561621264	[1.0,1.873296849639009,1.5315031489076003,1.0980371200676613,1.8873588807656083]
151	734.9965711362116	53.06212464275229	[1.0,1.7276618631078162,1.3541505924203234,0.8818282970854787,1.8665924102671194]
157	726.0852373062738	50.269427841177134	[1.0,1.7255224244756109,1.4492090479251758,0.9889885871279025,1.8512169498013626]
