-1	502665.4	65246.85727040805	[1,1,1,1,1]
1	500460.775	95061.29648130001	[1.0,1.1411167761573433,0.9601890154514819,1.0188979009211625,1.1455497679325695]
2	465378.8	35901.37443047968	[1.0,1.1108435205839948,1.0116666383068877,1.1233323352605156,1.342957294275057]
4	460419.125	38795.801518696906	[1.0,0.9833692253097794,1.0781569753983522,1.1795946153616634,1.4105662212832715]
5	457688.725	39138.42415252721	[1.0,1.018253347038747,0.9685408987416346,1.1439780288203194,1.3870037383467189]
19	457370.875	30517.396845743988	[1.0,0.9760827077262507,1.1810629287771561,1.400306257512885,1.5673626707377344]
21	455761.4	31515.573139759017	[1.0,1.1999239333289533,1.3329344069412967,1.735496650364575,1.7419517092918926]
22	452270.6	34951.492508582516	[1.0,1.4316425311410759,1.5160024022098826,2.0538991679486216,1.8950702617808022]
24	449765.85	30606.340104666226	[1.0,1.424559099670633,1.687363734934002,2.0522498029045817,2.055743127052204]
25	449495.35	29977.537495848454	[1.0,1.4340430324426705,1.7544910028434937,2.0786088265402016,2.1702451581288087]
26	448737.9	28391.388737872614	[1.0,1.4749342157237382,1.6346757127875888,2.1151054322526854,2.1468025539625057]
34	447244.725	25895.479394686346	[1.0,1.4975504267612565,1.7617283309283747,2.3099130483856984,2.334617273772697]
136	446527.3	26894.717591192515	[1.0,1.7167046975636024,1.9320326612100023,2.600453936045412,2.754151567787289]
206	446400.25	26804.887100582982	[1.0,1.8879828020673655,2.18392167583167,2.6647874305120247,2.90965700643015]
208	445555.775	26683.705216491675	[1.0,2.0393616653811213,2.3827692944567493,2.7642389645112537,3.026365645688146]
211	444951.575	28550.612950742845	[1.0,2.115794575805214,2.5414580760448002,2.7825092097340636,2.9990768418603593]
215	441602.45	24696.817987040355	[1.0,2.317771869433512,2.8005190587115716,3.370593276133712,3.6194362368449906]
217	440257.05	26712.807316856462	[1.0,2.636913365515796,3.0638269279514625,3.767293767564495,4.07242183573045]
224	438276.1	25849.02788191463	[1.0,2.930338568789301,3.1943622546693624,4.191857281425101,4.433863639444788]
228	434028.175	24148.271256719912	[1.0,3.337133188121288,3.8973239888832696,4.948778014795857,5.324223473959478]
229	434027.925	24147.826306691146	[1.0,3.369978360764939,4.087828563567,5.060225496674917,5.447403996987005]
232	430824.8	24631.61438801769	[1.0,3.7754447361062935,4.725818841833545,5.622006561319483,6.244488714899482]
751	430580.75	25838.99941948217	[1.0,3.803745216451677,4.671123170334304,5.389202983048562,6.186605731455455]
822	430116.95	26414.14537227165	[1.0,4.0055824113821545,4.891352972454691,5.427131027491669,6.353338292812019]
